time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
0.0256,-0.08440,0.01614,9.96825
0.0256,-0.08919,-0.00780,10.02092
0.0257,-0.12749,0.04008,10.09274
0.0257,-0.08440,0.01614,10.08318
0.0265,-0.07961,0.08798,10.01135
0.0265,-0.12749,0.07840,10.02092
0.0338,-0.07481,0.07361,9.98262
0.0372,-0.07481,0.05446,9.92516
0.0389,-0.08440,0.03052,9.93474
0.0432,-0.07002,0.01137,9.95389
0.0622,-0.06525,0.03531,9.92516
0.0623,-0.08440,-0.01735,9.97304
0.0624,-0.09875,0.04008,9.87727
0.0630,-0.08440,-0.00301,9.93474
0.0653,-0.07481,0.04008,9.92036
0.0697,-0.06525,0.08319,9.91080
0.0744,-0.12749,0.05925,9.96825
0.0786,-0.08440,0.06404,9.95389
0.0827,-0.07002,0.08798,9.98741
0.0868,-0.05089,0.03052,9.89642
0.0915,-0.10355,0.03531,9.95868
0.0957,-0.07481,0.03052,9.91557
0.1004,-0.11313,0.02094,9.96825
0.1050,-0.07961,0.01614,10.01135
0.1091,-0.08919,0.01137,9.92995
0.1134,-0.07002,0.01137,9.90601
0.1179,-0.13228,0.06404,9.91080
0.1226,-0.07002,0.01614,9.91557
0.1278,-0.02216,0.04488,9.88206
0.1318,-0.06525,0.02094,9.90121
0.1361,-0.10355,0.04488,9.86290
0.1402,-0.13707,0.02573,9.93474
0.1448,-0.09396,0.02573,9.93951
0.1503,-0.12749,0.05446,9.97304
0.1535,-0.05568,0.02094,9.97783
0.1588,-0.06525,0.03531,9.89163
0.1632,-0.10355,0.02094,9.96825
0.1664,-0.14664,0.00179,9.88686
0.1723,-0.11313,0.01614,9.88686
0.1763,-0.05089,-0.00780,9.92036
0.1940,-0.06525,-0.00301,9.85333
0.1940,-0.05568,0.03531,9.97304
0.1940,-0.08919,0.01614,9.92995
0.1941,-0.08440,0.04967,9.95389
0.1970,-0.11790,0.04967,9.90121
0.2037,-0.09396,0.03531,9.92516
0.2055,-0.04131,0.01137,9.96347
0.2102,-0.10355,0.01614,9.92516
0.2144,-0.09875,0.04008,9.90601
0.2187,-0.07481,0.03531,9.92036
0.2232,-0.09396,0.06882,9.94431
0.2273,-0.06525,0.05446,9.93474
0.2326,-0.10355,0.04967,9.85333
0.2366,-0.06525,0.02573,9.90121
0.2412,-0.06047,0.04008,9.83896
0.2457,-0.10834,-0.00301,9.95389
0.2506,-0.05089,0.04488,9.93474
0.2549,-0.07002,0.03052,9.96825
0.2592,-0.04131,0.03531,9.90121
0.2636,-0.07002,0.05925,9.86290
0.2686,-0.05568,0.06882,9.92516
0.2720,-0.07481,0.03052,9.89163
0.2761,-0.13707,0.05925,9.93474
0.2814,-0.08440,0.02573,9.91080
0.2858,-0.06525,0.04967,9.89163
0.2909,-0.07002,0.06882,9.95389
0.2938,-0.09875,0.05446,9.93951
0.3002,-0.04131,0.03531,9.93474
0.3030,-0.07481,0.02573,9.95389
0.3250,-0.06047,0.01137,9.89642
0.3251,-0.05089,0.04967,9.92516
0.3251,-0.05568,0.04967,9.90121
0.3252,-0.04131,0.02094,9.92995
0.3268,-0.09875,0.00179,9.91557
0.3373,-0.06047,0.07361,10.00656
0.3374,-0.10834,0.05925,9.96347
0.3374,-0.08919,0.00658,9.87248
0.3422,-0.08440,0.03531,9.97783
0.3462,-0.06525,0.04008,9.90121
0.3505,-0.10355,0.06404,9.99698
0.3550,-0.07481,-0.00301,9.94431
0.3599,-0.09875,0.00658,9.95868
0.3639,-0.10355,0.00658,9.93951
0.3687,-0.06047,0.04967,9.91557
0.3723,-0.03653,-0.01735,9.85812
0.3773,-0.07961,0.01137,10.00177
0.3810,-0.12270,0.00179,9.90601
0.3854,-0.08440,0.03052,9.89642
0.3897,-0.04610,0.05446,9.94910
0.3951,-0.08440,0.04488,9.93474
0.3996,-0.08440,0.03052,9.92516
0.4038,-0.08919,0.06404,9.93951
0.4079,-0.06525,-0.00301,9.91080
0.4120,-0.05089,0.05446,9.92995
0.4171,-0.10355,0.04967,9.91557
0.4213,-0.07002,0.08319,9.92516
0.4281,-0.10834,0.02573,9.85812
0.4307,-0.08919,0.03052,9.93951
0.4351,-0.10834,0.01137,9.87727
0.4516,-0.08440,0.05446,9.83896
0.4516,-0.12749,0.01137,9.90121
0.4516,-0.13707,0.02573,9.83896
0.4540,-0.07961,0.02573,9.95389
0.4561,-0.08919,-0.00780,10.00177
0.4627,-0.09875,0.03052,9.87727
0.4652,-0.06047,0.00179,9.99698
0.4701,-0.10355,0.06404,9.92516
0.4736,-0.11790,0.04967,9.89163
0.4783,-0.07961,0.06404,9.93951
0.4821,-0.08440,-0.00780,9.85812
