time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
0.0256,0.00226,0.00282,-0.00383
0.0256,0.00012,-0.00357,0.00574
0.0257,-0.00307,-0.00038,-0.00171
0.0265,-0.00095,-0.00145,-0.00064
0.0265,0.00119,-0.00357,0.00043
0.0265,0.01076,-0.00145,0.00043
0.0338,-0.00520,-0.00357,0.00150
0.0373,-0.00520,-0.00784,0.00150
0.0408,0.00012,-0.00571,0.00150
0.0433,-0.00732,-0.00464,-0.00278
0.0623,-0.00414,0.00175,-0.00278
0.0623,-0.00095,-0.01103,-0.00064
0.0624,-0.00095,-0.00250,-0.00703
0.0639,-0.00307,-0.00038,-0.00171
0.0653,0.00438,0.00388,0.00150
0.0697,0.00012,-0.00677,0.00681
0.0744,-0.00520,-0.00145,-0.00064
0.0786,-0.00414,0.00282,-0.00383
0.0834,-0.00200,-0.00038,0.00681
0.0868,0.00438,-0.00996,-0.00490
0.0915,0.00438,-0.00357,0.00255
0.0957,0.00119,-0.01529,-0.00810
0.1005,-0.00307,-0.00464,-0.00597
0.1058,-0.01053,0.00069,-0.00171
0.1092,-0.00200,-0.00464,0.00574
0.1135,0.00119,-0.00250,-0.00064
0.1179,0.00333,-0.00571,0.00043
0.1227,0.00119,-0.00038,0.00681
0.1283,0.00226,-0.00357,-0.00597
0.1318,0.00119,-0.00571,-0.00490
0.1361,0.00864,0.00494,0.00150
0.1403,-0.00414,-0.00250,0.00150
0.1449,-0.00520,0.00175,-0.00064
0.1508,-0.00946,0.01134,0.00150
0.1535,-0.00307,0.00601,0.00360
0.1588,-0.01266,-0.00250,-0.00278
0.1632,-0.00414,-0.00250,0.00150
0.1722,-0.00520,-0.00677,0.00255
0.1732,-0.00732,-0.00677,-0.00171
0.1763,-0.00307,-0.00784,0.00255
0.1940,-0.00414,-0.00677,0.00150
0.1940,0.00012,0.00282,0.00574
0.1940,-0.00200,-0.00250,0.00255
0.1941,0.00438,-0.00357,-0.00703
0.1970,-0.00200,0.00175,0.00150
0.2037,0.00757,0.00388,-0.00171
0.2055,-0.00627,-0.00038,-0.00278
0.2102,0.00119,-0.00250,0.00574
0.2152,-0.00520,-0.00784,0.00150
0.2188,-0.00095,-0.00357,0.00043
0.2233,0.00226,-0.00571,-0.00490
0.2274,0.00226,-0.00357,-0.00810
0.2327,0.00226,-0.00357,0.00255
0.2376,0.00333,0.00069,0.00255
0.2413,-0.00732,0.00175,0.00360
0.2458,0.00012,-0.00996,-0.00064
0.2506,-0.00414,-0.00357,0.00043
0.2549,0.00012,-0.00145,0.00787
0.2602,-0.00307,-0.00145,-0.00597
0.2636,-0.00095,-0.00890,0.00360
0.2686,-0.00095,0.00069,-0.00171
